Monat";Zuzüge;;Fortzüge;;"Zuzugs- bzw. Fortzugs-
überschuss (–)";;;;;;;;;;;;;;
;"ins-
gesamt";"darunter
über die
Landes-
grenze";"ins-
Mai;29.534;14.718;27.238;12.422;2.296;–;2.296;;;;;;;;;;;;
Juni;31.412;15.416;28.735;12.739;2.677;–;2.677;;;;;;;;;;;;
Juli;31.018;15.672;31.159;15.813;– 141;–;– 141;;;;;;;;;;;;
August;33.962;17.326;33.652;17.016;310;–;310;;;;;;;;;;;;
September;34.154;19.055;29.582;14.483;4.572;–;4.572;;;;;;;;;;;;
Oktober;;;;;;;;;;;;;;;;;;;
November;;;;;;;;;;;;;;;;;;;
Dezember;;;;;;;;;;;;;;;;;;;
_____;;;;;;;;;;;;;;;;;;;
"1 ermittelt aus den im Berichtsmonat gemeldeten Zu- und Fortzügen; vorläufige Angaben";;;;;;;;;;;;;;;;;;;


Bevölkerung: Table 1
Bevölkerung in Berlin am 31.12.2022;;;;;;;;;;;
Bezirk ¹;Insgesamt;"Veränderung
zum Vorjahr";Bevölkerungsdichte ²;;;;;;;;
;Anzahl;%;Einwohner/km²;;;;;;;;
;;;;;;;;;;;
Mitte;388.910;3,0;9.871;01;;;;;;;
Friedrichshain-Kreuzberg;283.633;1,1;13.904;02;;;;;;;
Pankow;415.528;2,7;4.026;03;;;;;;;
Charlottenburg-Wilmersdorf;317.538;0,1;4.909;04;;;;;;;
Spandau;248.521;3,3;2.705;05;;;;;;;
Steglitz-Zehlendorf;294.115;0,6;2.868;06;;;;;;;
Tempelhof-Schöneberg;346.799;1,3;6.537;07;;;;;;;
Neukölln;321.319;0,3;7.152;08;;;;;;;
Treptow-Köpenick;285.774;4,6;1.704;09;;;;;;;
Marzahn-Hellersdorf;287.277;4,5;4.647;10;;;;;;;
Lichtenberg;303.241;3,4;5.818;11;;;;;;;
Reinickendorf;262.596;0,8;2.940;12;;;;;;;
Berlin;3.755.251;2,1;4.214;;;;;;;;
;;;;;;;;;;;
1 Ergebnisse für Bezirke geschätzt ;;;;;;;;;;;
2 Berechnung auf Grundlage der Fläche vom 31.12.2021;;;;;;;;;;;


geburten-sterbefaelle-regionaldaten-2022-brandenburg: Table 1
;Natürliche Bevölkerungsbewegung in Berlin 2022;;;;;
;Bezirk;Lebendgeborene;Gestorbene;Lebendgeborene;Gestorbene;
;;Anzahl;;je 1000 Einwohner¹;;
;;;;;;
01;Mitte;4.010;2.877;x;x;
02;Friedrichshain-Kreuzberg;2.832;1.888;x;x;
03;Pankow;3.860;3.751;x;x;
04;Charlottenburg-Wilmersdorf;2.715;3.680;x;x;
05;Spandau;2.430;3.164;x;x;
06;Steglitz-Zehlendorf;2.209;3.964;x;x;
07;Tempelhof-Schöneberg;3.347;3.683;x;x;
08;Neukölln;3.319;3.232;x;x;
09;Treptow-Köpenick;2.682;3.497;x;x;
10;Marzahn-Hellersdorf;2.775;2.977;x;x;
11;Lichtenberg;3.108;3.388;x;x;
12;Reinickendorf;2.442;3.471;x;x;
;Berlin;35.729;39.572;9,6;10,6;
;;;;;;
;"1 bezogen auf die Durchschnittsbevölkerung; aus methodischen Gründen keine Angabe für die Berliner Bezirke";;;;;


3  Eheschließungen, Lebendgeborene und Gestorbene in Berlin im September 2023¹      nach Bezirken, : Table 1
"3  Eheschließungen, Lebendgeborene und Gestorbene in Berlin im September 2023¹ 
    nach Bezirken, Monaten, Staatsangehörigkeit und Geschlecht";;;;;;;;;;;;
;;;;;;;;;;;;
"Bezirk
—
Monat
—
Staatsangehörigkeit";"Ehe-
schlie-
ßungen";Lebendgeborene;;;;Gestorbene;;;;;;
;;"ins-
gesamt";männlich;weiblich;"darunter Eltern nicht
miteinander
verheiratet";"ins-
gesamt";männlich;weiblich;;;;
;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;
Mitte;79;316;171;145;130;188;98;90;;;;
Friedrichshain-Kreuzberg;79;199;100;99;96;123;62;61;;;;
Pankow;141;305;136;169;156;252;141;111;;;;
Charlottenburg-Wilmersdorf;201;244;119;125;106;275;132;143;;;;
Spandau;57;201;101;100;90;199;92;107;;;;
Steglitz-Zehlendorf;94;202;110;92;75;283;125;158;;;;
Tempelhof-Schöneberg;223;252;132;120;105;262;136;126;;;;
Neukölln;142;243;107;136;99;254;134;120;;;;
Treptow-Köpenick;75;216;102;114;109;240;114;126;;;;
Marzahn-Hellersdorf;5;213;98;115;120;173;88;85;;;;
Lichtenberg;65;218;116;102;126;219;114;105;;;;
Reinickendorf;105;209;109;100;83;259;124;135;;;;
Berlin²;1.267;2.818;1.401;1.417;1.295;2.727;1.360;1.367;;;;
;;;;;;;;;;;;
;Monate;;;;;;;;;;;
Januar;425;2.239;1.140;1.099;971;2.965;1.439;1.526;;;;
Februar;552;2.714;1.382;1.332;1.305;3.371;1.689;1.682;;;;
März;771;2.715;1.403;1.312;1.239;3.370;1.667;1.703;;;;
April;746;2.711;1.427;1.284;1.232;3.133;1.576;1.557;;;;
Mai;1.116;2.864;1.488;1.376;1.315;3.229;1.685;1.544;;;;
Juni;1.352;3.052;1.561;1.491;1.357;3.032;1.562;1.470;;;;
Juli;1.176;3.066;1.539;1.527;1.419;3.048;1.527;1.521;;;;
August;1.191;2.889;1.511;1.378;1.309;2.869;1.403;1.466;;;;
September;1.267;2.818;1.401;1.417;1.295;2.727;1.360;1.367;;;;
Oktober;;;;;;;;;;;;
November;;;;;;;;;;;;
Dezember;;;;;;;;;;;;
;;;;;;;;;;;;
;Ausländer;;;;;;;;;;;
Januar;x;359;175;184;126;147;80;67;;;;
Februar;x;650;330;320;311;184;107;77;;;;
März;x;616;302;314;283;179;100;79;;;;
April;x;548;288;260;263;192;116;76;;;;
Mai;x;635;315;320;297;212;129;83;;;;
Juni;x;700;340;360;330;198;124;74;;;;
Juli;x;619;318;301;284;174;90;84;;;;
August;x;603;320;283;275;175;104;71;;;;
September;x;591;292;299;272;185;107;78;;;;
Oktober;;;;;;;;;;;;
November;;;;;;;;;;;;
Dezember;;;;;;;;;;;;
_____;;;;;;;;;;;;
"1 ermittelt aus den im Berichtsmonat beurkundeten Eheschließungen, Geburten und Sterbefällen; vorläufige Angaben";;;;;;;;;;;;
2 einschl. Standesamt I in Berlin;;;;;;;;;;;;


Wanderungen über die Bezirks- und Landesgrenzen von Berlin im September 2023 : Table 1
"4  Wanderungen über die Bezirks- und Landesgrenzen von Berlin im September 2023¹ 
    nach Bezirken, Staatsangehörigkeit und Monaten";;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;
"Bezirk
—
Staatsangehörigkeit
—
Monat";Zuzüge;;Fortzüge;;"Zuzugs- bzw. Fortzugs-
überschuss (–)";;;;;;;;;;;;;;
;"ins-
gesamt";"darunter
über die
Landes-
grenze";"ins-
gesamt";"darunter
über die
Landes-
grenze";"ins-
gesamt";durch;;;;;;;;;;;;;
;;;;;;Binnen-;Außen-;;;;;;;;;;;;
;;;;;;wanderung;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;;;;;;
Mitte;4.362;2.788;3.931;1.763;431;– 594;1025;;;;;;;;;;;;
Friedrichshain-Kreuzberg;3.366;1.848;2.972;1.432;394;– 22;416;;;;;;;;;;;;
Pankow;3.376;1.794;3.063;1.487;313;6;307;;;;;;;;;;;;
Charlottenburg-Wilmersdorf;3.208;1.916;2.935;1.478;273;– 165;438;;;;;;;;;;;;
Spandau;1.857;1.070;1.510;878;347;155;192;;;;;;;;;;;;
Steglitz-Zehlendorf;2.456;1.268;2.095;1.103;361;196;165;;;;;;;;;;;;
Tempelhof-Schöneberg;2.975;1.486;2.637;1.287;338;139;199;;;;;;;;;;;;
Neukölln;2.506;1.354;2.413;1.095;93;– 166;259;;;;;;;;;;;;
Treptow-Köpenick;2.700;1.311;1.887;1.095;813;597;216;;;;;;;;;;;;
Marzahn-Hellersdorf;1.879;975;1.490;849;389;263;126;;;;;;;;;;;;
Lichtenberg;2.688;1.312;2.119;1.128;569;385;184;;;;;;;;;;;;
Reinickendorf;2.781;1.933;2.530;888;251;– 794;1045;;;;;;;;;;;;
Berlin;34.154;19.055;29.582;14.483;4.572;–;4.572;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Ausländer;;;;;;;;;;;;;;;;;;
Mitte;3.006;2.041;2.320;1.038;686;– 317;1003;;;;;;;;;;;;
Friedrichshain-Kreuzberg;2.309;1.336;1.629;806;680;150;530;;;;;;;;;;;;
Pankow;1.994;1.087;1.582;621;412;– 54;466;;;;;;;;;;;;
Charlottenburg-Wilmersdorf;2.087;1.338;1.633;807;454;– 77;531;;;;;;;;;;;;
Spandau;1.257;762;757;386;500;124;376;;;;;;;;;;;;
Steglitz-Zehlendorf;1.379;791;956;437;423;69;354;;;;;;;;;;;;
Tempelhof-Schöneberg;1.823;962;1.349;670;474;182;292;;;;;;;;;;;;
Neukölln;1.590;963;1.310;594;280;– 89;369;;;;;;;;;;;;
Treptow-Köpenick;1.615;811;911;476;704;369;335;;;;;;;;;;;;
Marzahn-Hellersdorf;1.250;693;800;411;450;168;282;;;;;;;;;;;;
Lichtenberg;1.844;946;1.142;579;702;335;367;;;;;;;;;;;;
Reinickendorf;2.026;1.607;1.674;395;352;– 860;1212;;;;;;;;;;;;
Berlin;22.180;13.337;16.063;7.220;6.117;–;6.117;;;;;;;;;;;;
;;;;;;–;;;;;;;;;;;;;
;Monate;;;;;;;;;;;;;;;;;;
Januar;29.020;16.006;24.150;11.136;4.870;–;4.870;;;;;;;;;;;;
Februar;28.141;14.533;24.661;11.053;3.480;–;3.480;;;;;;;;;;;;
März;28.346;14.734;25.359;11.747;2.987;–;2.987;;;;;;;;;;;;
April;28.403;13.875;26.405;11.877;1.998;–;1.998;;;;;;;;;;;;
Mai;29.534;14.718;27.238;12.422;2.296;–;2.296;;;;;;;;;;;;
Juni;31.412;15.416;28.735;12.739;2.677;–;2.677;;;;;;;;;;;;
